图书目录,,,,,,,,
序号,学科方向,书名,课程级别,作者, 定价 ,书号,出版日期,出版单位
1,Java,Java基础入门,初级,传智播客高教产品研发部, 58.00 ,978-7-302-35938-8,2014年5月,清华大学出版社
2,网络安全,网络空间安全导论（微课版）（网络空间安全学科系列教材）,中级,刘建伟、李晖、张焕国、杜瑞颖、尚涛、彭浩, 59.90 ,9787302550112 ,2025/2/1,清华大学出版社
3,人工智能,人工智能概论（通识课版）（21世纪高等学校通识教育规划教材）,初级,廉师友, 39.80 ,9787302553861 ,2020/8/1,清华大学出版社
4,人工智能,人工智能通识教程,初级,周苏、鲁玉军、蓝忠华、周斌斌, 45.00 ,9787302555186 ,2020/8/1,人民邮电出版社
5,人工智能,人工智能导论（21世纪高等学校人工智能专业规划教材）,初级,廉师友, 69.80 ,9787302556039 ,2020/10/1,人民邮电出版社
6,人工智能,人工智能及其应用（第6版）,初级,蔡自兴、刘丽珏、蔡竞峰、陈白帆, 89.00 ,9787302556817 ,2020/8/1,人民邮电出版社
7,人工智能,人工智能基础与应用,初级,樊重俊, 88.00 ,9787302559474 ,2020/8/1,人民邮电出版社
8,人工智能,Hadoop理论与实践（大数据人工智能系列丛书）,中级,北京百里半网络技术有限公司、李平, 58.00 ,9787302559504 ,2021/1/1,人民邮电出版社
9,网络安全,Web安全开发与攻防测试（高等学校网络空间安全专业规划教材）,初级,王顺, 49.00 ,9787302563242 ,2021/2/1,人民邮电出版社
10,人工智能,移动机器人（全国高等学校智能科学与技术/人工智能专业规划教材）,初级,陈白帆、宋德臻, 49.50 ,9787302566618 ,2021/3/1,人民邮电出版社
11,人工智能,人工智能基础及应用（面向新工科的电工电子信息基础课程系列教材）,中级,宋永端, 39.00 ,9787302566670 ,2021/2/1,人民邮电出版社
12,人工智能,人工智能极简入门,初级,张玉宏, 59.00 ,9787302569701 ,2021/4/1,人民邮电出版社
13,人工智能,商务智能（大数据与人工智能技术丛书）,中级,陈建、羊英, 59.80 ,9787302571247 ,2021/5/1,中国铁道出版社
14,人工智能,机器学习基础与实践（慧科人工智能系列丛书）,中级,杨金坤 、马星原、张力宁、张峻, 39.00 ,9787302571865 ,2021/3/1,人民邮电出版社
15,人工智能,人工智能导论（面向“工程教育认证”计算机系列课程规划教材）,店销书,姜春茂, 49.00 ,9787302572398 ,2021/5/1,人民邮电出版社
16,网络安全,视频监控原理与应用（21世纪高等学校网络空间安全专业规划教材）,初级,洪云 李锦 赵家兴 张爽 闫薇 宇忠源 郝家磊, 49.00 ,9787302572565 ,2021/4/1,清华大学出版社
17,人工智能,人工智能实验简明教程,初级,焦李成、孙其功、田小林、侯彪、李阳阳, 59.00 ,9787302574293 ,2021/3/1,人民邮电出版社
18,人工智能,人工智能英语读写教程（高校专门用途英语（ESP)系列教材）,初级,何芳、郑涛、邓静、孟庆丰、刘晓玲、封国华, 69.00 ,9787302578079 ,2021/7/1,清华大学出版社
19,人工智能,大数据概论（大数据技术与人工智能应用系列）,中级,龙虎, 49.00 ,9787302579939 ,2021/9/1,人民邮电出版社
20,网络安全,网络安全实验教程（第3版）（网络空间安全学科系列教材）,初级,刘建伟、李晖、张卫东、杜瑞颖、崔剑、李大, 59.00 ,9787302580416 ,2021/4/1,人民邮电出版社
21,网络安全,无线网络安全（网络空间安全学科系列教材）,中级,杨东晓、张锋、冯涛、任晓贤, 36.00 ,9787302580638 ,2021/6/1,人民邮电出版社
22,人工智能,大数据技术与机器学习Python实战（大数据技术与人工智能应用系列）,初级,张晓明, 48.00 ,9787302581321 ,2021/8/1,中国铁道出版社
23,人工智能,Python量化金融与人工智能（高等院校金融学专业系列教材）,初级,朱顺泉, 69.00 ,9787302581536 ,2021/7/1,人民邮电出版社
24,网络安全,行为安全管理技术与应用（网络空间安全学科系列教材）,中级,赵宇辉、侯昀, 39.00 ,9787302582571 ,2021/6/1,清华大学出版社
25,人工智能,人工智能导论,初级,马月坤、陈昊, 39.00 ,9787302583509 ,2021/8/1,人民邮电出版社
26,网络安全,网络空间安全综合实验教程（网络空间安全学科系列教材）,中级,鲁蔚锋、王明佶, 35.00 ,9787302583516 ,2021/8/1,人民邮电出版社
27,网络安全,计算机网络安全与实验教程（第3版・微课视频版）（21世纪高等学校网络空间安全专业系列教材）,初级,马丽梅、徐峰, 69.80 ,9787302584193 ,2021/8/1,人民邮电出版社
28,网络安全,无人系统安全（网络空间安全学科系列教材）,初级,苏洲、王云涛、栾浩、潘洋河、郭少龙、胡钦, 39.90 ,9787302584674 ,2025/1/1,清华大学出版社
29,人工智能,人工智能导论,中级,刘若辰 、慕彩红、焦李成、刘芳、陈璞花, 69.00 ,9787302584681 ,2021/9/1,中国铁道出版社
30,人工智能,人工智能导论（21世纪高等学校计算机基础实用系列教材）,初级,许佳炜、胡众义、张笑钦, 39.00 ,9787302585886 ,2021/9/1,人民邮电出版社
31,人工智能,人工智能数据安全（网络空间安全学科系列教材）,初级,任奎、秦湛、王志波、巴钟杰、李一鸣, 59.90 ,9787302586555 ,2025/2/1,人民邮电出版社
32,网络安全,人工智能数据安全（网络空间安全学科系列教材）,初级,任奎、秦湛、王志波、巴钟杰、李一鸣, 59.90 ,9787302586555 ,2025/2/1,清华大学出版社
33,网络安全,网络安全与管理实验与实训（微课视频版）（清华科技大讲堂丛书）,初级,石磊、赵慧然、肖建良, 45.00 ,9787302586593 ,2021/9/1,人民邮电出版社
34,网络安全,网络安全执法概论,初级,顾海艳、黄步根、张璇、郭向民、熊道泉, 42.00 ,9787302587699 ,2021/9/1,人民邮电出版社
35,网络安全,网络安全与管理（第3版）（清华科技大讲堂丛书）,店销书,石磊、赵慧然、肖建良, 59.80 ,9787302588399 ,2021/9/1,人民邮电出版社
36,人工智能,脑与认知科学基础（高等学校智能科学与技术/人工智能专业教材）,中级,刘洪波、冯士刚, 68.00 ,9787302589310 ,2021/11/1,人民邮电出版社
37,网络安全,网络空间安全原理与实践,初级,徐恪、李琦、沈蒙、朱敏, 89.00 ,9787302594314 ,2022/2/1,人民邮电出版社
38,网络安全,网络攻防项目实战（微课视频版）（21世纪高等学校网络空间安全专业系列教材）,初级,马丽梅、王方伟、徐峰, 49.80 ,9787302595205 ,2022/3/1,人民邮电出版社
39,网络安全,信息系统安全（第2版・微课视频版）（21世纪高等学校网络空间安全专业系列教材）,初级,陈萍、王金双、赵敏、宋磊, 59.80 ,9787302595373 ,2022/5/1,人民邮电出版社
40,人工智能,人工智能伦理与安全,初级,沈寓实、徐  亭、李雨航, 69.80 ,9787302596639 ,2021/12/1,清华大学出版社
41,人工智能,自然语言处理实践（高等学校智能科学与技术/人工智能专业教材）,初级,李轩涯、曹焯然、计湘婷, 59.00 ,9787302597469 ,2022/1/1,清华大学出版社
42,人工智能,机器学习实践（高等学校智能科学与技术/人工智能专业教材）,店销书,李轩涯、计湘婷、曹焯然, 59.00 ,9787302597476 ,2022/1/1,清华大学出版社
43,人工智能,计算机视觉实践（高等学校智能科学与技术/人工智能专业教材）,初级,李轩涯、曹焯然、计湘婷, 59.00 ,9787302597483 ,2022/1/1,清华大学出版社
44,人工智能,深度学习与Python实现及应用（ 高等学校智能科学与技术/人工智能专业教材）,初级,郭彤颖、薛亚栋、李娜、刘冬莉 等, 59.00 ,9787302599418 ,2022/4/1,清华大学出版社
45,网络安全,无线网络安全技术（第3版）,初级,姚琳、王雷, 49.00 ,9787302600404 ,2022/5/1,人民邮电出版社
46,人工智能,机器学习算法与应用（Python版）（大数据技术与人工智能应用系列）,中级,李阳，许若波，阮文飞，张先玉, 49.00 ,9787302601234 ,2022/3/1,清华大学出版社
47,人工智能,Hadoop大数据技术基础（Python版）微课视频版（大数据与人工智能技术丛书）,初级,刘彬斌, 59.00 ,9787302601302 ,2022/6/1,清华大学出版社
48,网络安全,现代密码学（第5版）（网络空间安全学科系列教材）,初级,杨波, 59.90 ,9787302601791 ,2022/4/1,人民邮电出版社
49,人工智能,人工智能的数学基础（面向新工科专业建设计算机系列教材）,中级,冯朝路 于鲲 杨金柱 栗伟, 59.00 ,9787302603818 ,2022/8/1,人民邮电出版社
50,网络安全,数字认证技术（21世纪高等学校网络空间安全专业系列教材）,中级,朱岩、陈娥, 59.80 ,9787302604167 ,2022/8/1,清华大学出版社
51,人工智能,人工智能营销（21世纪经济管理新形态教材・营销学系列）,初级,彭英, 59.00 ,9787302604730 ,2022/4/1,清华大学出版社
52,网络安全,网络安全实用项目教程(微课版）（高职高专计算机任务驱动模式教材）,中级,戴万长 杨云 刘莹芳 薛安康, 59.00 ,9787302606475 ,2022/7/1,中国铁道出版社
53,人工智能,Python人工智能实践（高等学校计算机专业系列教材）,初级,梁爱华、王雪峤、倪景秀, 49.00 ,9787302606567 ,2022/7/1,清华大学出版社
54,人工智能,人工智能通识教程（第2版）,初级,王万良, 59.80 ,9787302606734 ,2022/6/1,清华大学出版社
55,人工智能,人工智能算法（Python语言版）（高等学校智能科学与技术/人工智能专业教材）,中级,胡矿、岳昆、段亮、武浩, 59.80 ,9787302608301 ,2022/9/1,人民邮电出版社
56,网络安全,网络信息内容安全（第2版・微课视频版）（21世纪高等学校网络空间安全专业系列教材）,中级,杨黎斌、蔡晓妍、戴航, 69.00 ,9787302609858 ,2022/8/1,人民邮电出版社
57,网络安全,行为安全管理技术与应用实验指导（网络空间安全学科系列教材）,中级,杨东晓、杜伯翔、王剑利、王萌, 59.90 ,9787302611271 ,2023/3/1,中国铁道出版社
58,网络安全,网络安全原理与实践(第2版）（计算机系列教材）,初级,陈伟、李频, 69.00 ,9787302613954 ,2023/3/1,人民邮电出版社
59,人工智能,人工智能专业英语教程（第2版）（高等学校智能科学与技术/人工智能专业教材）,店销书,朱丹，朱宏峰，刘伟, 69.00 ,9787302614388 ,2023/3/1,人民邮电出版社
60,人工智能,人工智能基础及应用（微课版）（高等院校互联网+新形态创新系列教材・计算机系列）,初级,孙平、唐非、张迪, 59.00 ,9787302614951 ,2022/12/1,人民邮电出版社
61,人工智能,深度学习与自然计算（高等学校智能科学与技术/人工智能专业教材）,初级,董红斌、王兴梅, 49.80 ,9787302614975 ,2022/10/1,清华大学出版社
62,网络安全,网络安全技术项目化教程（第3版）(微课版)（高职高专计算机任务驱动模式教材）,初级,黄林国 汪国华 娄淑敏 章仪 刘辰基 郑, 59.80 ,9787302616047 ,2022/11/1,人民邮电出版社
63,网络安全,网络安全评估实战,初级,邹来龙, 59.00 ,9787302617136 ,2022/11/1,中国铁道出版社
64,网络安全,信息安全导论（高等学校网络空间安全专业系列教材）,初级,曹健, 49.00 ,9787302617143 ,2022/11/1,人民邮电出版社
65,人工智能,计算思维与人工智能基础（高等院校计算机应用系列教材）,中级,主编：付  菊  孙连山   副主编：郭文强, 59.80 ,9787302617174 ,2022/9/1,人民邮电出版社
66,人工智能,人工智能应用开发与案例分析（ 高等学校智能科学与技术/人工智能专业教材）,初级,缑锦  主编  王华珍  刘景华  副主编, 59.00 ,9787302623335 ,2023/3/1,人民邮电出版社
67,网络安全,计算机网络安全（第4版）（新时代高等学校计算机类专业教材）,中级,马利、姚永雷、苏健、邵敏兰, 59.80 ,9787302623489 ,2023/6/1,清华大学出版社
68,网络安全,计算机网络安全技术原理与实验（21世纪高等学校网络空间安全专业系列教材）,初级,唐灯平, 79.80 ,9787302625926 ,2023/3/1,清华大学出版社
69,网络安全,网络安全创新实验教程（微课版）（网络空间安全学科系列教材）,店销书,毛剑、刘建伟, 36.00 ,9787302625933 ,2023/1/1,人民邮电出版社
70,人工智能,人工智能程序设计（Java）(微课视频版)（高等院校计算机任务驱动教改教材）,中级,赵彦, 54.00 ,9787302626435 ,2023/4/1,人民邮电出版社
71,网络安全,网络安全与攻防入门很轻松（实战超值版）（入门很轻松）,初级,网络安全技术联盟, 79.80 ,9787302627722 ,2023/4/1,清华大学出版社
72,人工智能,嵌入式人工智能,初级,李斌, 69.00 ,9787302627968 ,2023/5/1,人民邮电出版社
73,网络安全,网络安全技术与实践（第2版・微课视频版）（国家级实验教学示范中心联席会计算机学科组规划教材）,初级,金弘林、王金恒、王煜林、龙君芳, 69.00 ,9787302628583 ,2023/4/1,清华大学出版社
74,网络安全,网络空间安全概论（“国家级一流本科课程”配套教材系列）,初级,郭文忠、董晨、张浩、何萧玲、倪一涛、李应, 39.00 ,9787302628811 ,2023/5/1,清华大学出版社
75,网络安全,网络安全应急管理与技术实践,初级,曹雅斌 尤其 张胜生 杜渐 田磊 吕岩 秦峰, 69.80 ,9787302629160 ,2023/3/1,清华大学出版社
76,网络安全,计算机网络安全技术,中级,沈洋, 59.00 ,9787302630241 ,2024/3/1,人民邮电出版社
77,网络安全,零信任安全架构设计与实现（网络空间安全丛书）,初级,[美] 杰森・加比斯（Jason Garbis），杰瑞, 79.80 ,9787302631507 ,2023/6/1,清华大学出版社
78,网络安全,安全物联网系统设计（网络空间安全丛书）,初级,[美] 苏米特・阿罗拉（Sumeet Arora）、拉, 68.00 ,9787302631521 ,2023/6/1,清华大学出版社
79,网络安全,计算机网络安全与管理项目教程（第2版）（高等职业院校互联网+新形态创新系列教材・计算机系列）,中级,王亮，张虹霞，孙文娜，辛小江，曾崇杰, 49.80 ,9787302632498 ,2023/5/1,清华大学出版社
80,网络安全,密码科学与技术概论（网络空间安全学科系列教材）,中级,曹春杰、韩文报, 39.50 ,9787302633174 ,2023/6/1,清华大学出版社
81,人工智能,人工智能概论（高等学校计算机专业系列教材）,初级,彭涛、刘畅, 69.00 ,9787302633198 ,2023/6/1,人民邮电出版社
82,网络安全,密码学与网络安全（第4版）（清华计算机图书译丛）,初级,（印）阿图尔・卡哈特（Atul Kahate）著, 79.00 ,9787302637653 ,2023/7/1,人民邮电出版社
83,网络安全,网络安全工具攻防实战从新手到高手（微课超值版）（从新手到高手）,初级,网络安全技术联盟, 79.80 ,9787302638810 ,2023/9/1,人民邮电出版社
84,网络安全,可信计算（网络空间安全学科系列教材）,初级,张焕国、余发江、严飞、赵波、王鹃、张立强, 69.90 ,9787302639046 ,2023/8/1,清华大学出版社
85,网络安全,Python编程及网络安全实践（微课视频版）（21世纪高等学校计算机类课程创新系列教材・微课版）,中级,张瑞霞、智国建, 59.80 ,9787302639282 ,2023/8/1,人民邮电出版社
86,网络安全,信息安全原理与技术（第4版）（21世纪高等学校网络空间安全专业系列教材）,中级,郭亚军，郭奕F, 49.80 ,9787302639480 ,2024/1/1,人民邮电出版社
87,网络安全,数字取证（网络空间安全学科系列教材）,店销书,陈晶、张俊、何琨、郭永健、朱勇宇, 49.00 ,9787302639749 ,2023/8/1,人民邮电出版社
88,人工智能,人工智能基础（高等学校计算机专业系列教材）,中级,陈明, 69.00 ,9787302640264 ,2023/11/1,人民邮电出版社
89,人工智能,人工智能与未来营销（理论与案例）（21世纪经济管理新形态教材・营销学系列）,初级,邓士昌、谢佩洪, 49.00 ,9787302640783 ,2023/8/1,人民邮电出版社
90,人工智能,机器学习与智能感知（高等学校智能科学与技术/人工智能专业教材）,初级,张宝昌、黄雷、丁嵘、王田, 49.80 ,9787302641704 ,2023/9/1,人民邮电出版社
91,人工智能,计算机视觉实践（第2版）（高等学校智能科学与技术/人工智能专业教材）,初级,李轩涯、曹焯然、计湘婷, 59.00 ,9787302641773 ,2023/12/1,人民邮电出版社
92,网络安全,网络安全技术标准教程(实战微课版)（清华电脑学堂）,初级,钱慎一、徐明明, 69.80 ,9787302643319 ,2023/9/1,人民邮电出版社
93,网络安全,信息安全基础（第2版）（21世纪高等学校网络空间安全专业系列教材）,初级,胡卫、李拴保、秦艳琳、杨智超, 59.00 ,9787302643494 ,2023/10/1,清华大学出版社
94,人工智能,人工智能技术及应用（21世纪经济管理新形态教材・管理科学与工程系列）,初级,龙草芳、肖衡、梁志勇、汪泽宇、江荣旺、魏, 49.80 ,9787302645283 ,2023/10/1,人民邮电出版社
95,网络安全,信息安全原理与实践（第3版）（网络空间安全丛书）,初级,[美] 马克・斯坦普（Mark Stamp）著 冯娟, 99.80 ,9787302645351 ,2023/10/1,人民邮电出版社
96,网络安全,零信任计划（网络空间安全丛书）,中级,[美] 乔治・芬尼（George Finney）著 贾玉, 59.80 ,9787302648710 ,2024/1/1,人民邮电出版社
97,人工智能,人工智能编程（赋能C语言）（全国高等学校计算机教育研究会“十四五”系列教材）,中级,黄箐、廖云燕、曾锦山、邢振昌, 46.00 ,9787302648796 ,2023/11/1,人民邮电出版社
98,人工智能,机器学习实践（第2版）（ 高等学校智能科学与技术/人工智能专业教材）,初级,李轩涯、计湘婷、曹焯然, 59.00 ,9787302649205 ,2023/12/1,清华大学出版社
99,人工智能,自然语言处理实践（第2版）（ 高等学校智能科学与技术/人工智能专业教材）,中级,李轩涯、曹焯然、计湘婷, 59.00 ,9787302649212 ,2023/12/1,中国铁道出版社
100,人工智能,Python深度元学习算法（ 高等学校智能科学与技术/人工智能专业教材）,初级,王茂发，陈慧灵，徐艳琳，龚启舟，冷志雄，, 59.50 ,9787302649519 ,2023/12/1,人民邮电出版社
101,网络安全,信息安全管理（高等学校网络空间安全专业系列教材）,初级,严承华、陈璐、周大伟、刘鹏、李强、熊俊芬, 56.00 ,9787302650089 ,2024/2/1,人民邮电出版社
102,网络安全,现代密码学概论（第2版）（高等学校网络空间安全专业系列教材）,中级,潘森杉、仲红、潘恒、王良民, 49.00 ,9787302651499 ,2023/12/1,人民邮电出版社
103,网络安全,网络安全运维基础,初级,吴俊辉、张哲豫、贺养养、何敏, 69.00 ,9787302651635 ,2024/1/1,人民邮电出版社
104,人工智能,人工智能基础：算法与编程（面向新工科专业建设计算机系列教材）,中级,王洪元、张继, 59.00 ,9787302652076 ,2024/2/1,人民邮电出版社
105,网络安全,网络安全与管理（微课视频版）（21世纪高等学校网络空间安全专业系列教材）,初级,王爱新、刘兴龙、王雷, 59.80 ,9787302652533 ,2024/3/1,人民邮电出版社
106,网络安全,应用密码学（第3版）（21世纪高等学校网络空间安全专业系列教材）,店销书,刘嘉勇、赵亮、杨进、李莉, 69.00 ,9787302653363 ,2024/2/1,人民邮电出版社
107,网络安全,密码学中的可证明安全性（第2版）（网络空间安全学科系列教材）,初级,杨波、杨启良, 49.90 ,9787302655626 ,2024/2/1,人民邮电出版社
108,网络安全,移动通信网络安全实验教程（网络空间安全学科系列教材）,中级,孙钰、刘建伟、孙茜、武广智、田霖, 49.00 ,9787302657767 ,2024/5/1,人民邮电出版社
109,网络安全,智慧城市网络安全顶层设计及实践,中级,孙松儿, 69.00 ,9787302658139 ,2024/6/1,人民邮电出版社
110,网络安全,物联网安全――理论与技术（网络空间安全学科系列教材）,初级,毛剑、刘建伟、刘文懋、关振宇, 49.00 ,9787302659105 ,2024/4/1,人民邮电出版社
111,网络安全,网络安全技术(微课视频版)（21世纪高等学校网络空间安全专业系列教材）,初级,李爱华 张文波 周越, 39.00 ,9787302659495 ,2024/5/1,中国铁道出版社
112,人工智能,人工智能应用的数学基础（微课版）（面向新工科专业建设计算机系列教材）,初级,刘帅 付维娜 代建华  , 69.00 ,9787302660347 ,2024/5/1,人民邮电出版社
113,网络安全,分组密码设计与评估（网络空间安全学科系列教材）,初级,李艳俊 吴文玲 项勇 霍珊珊 刘健, 49.00 ,9787302660385 ,2024/5/1,人民邮电出版社
114,网络安全,网络安全设计与运营（高等学校网络空间安全专业系列教材）,初级,王宇、熊达鹏、钱克昌, 49.00 ,9787302660392 ,2024/5/1,清华大学出版社
115,网络安全,网络空间安全真相：破除流传已久的行业谬误与偏见（网络空间安全丛书）,初级,[美] 尤金・H. 斯帕福德（Eugene H. Spaffo, 98.00 ,9787302660934 ,2024/6/1,人民邮电出版社
116,网络安全,信息安全导论（第2版）（高等学校网络空间安全专业系列教材）,中级,朱建明、杨力、高胜, 69.00 ,9787302661023 ,2024/5/1,中国铁道出版社
117,人工智能,人工智能案例与实验（高等学校计算机专业系列教材）,初级,徐义春, 39.00 ,9787302661238 ,2024/5/1,人民邮电出版社
118,人工智能,数值计算方法――人工智能、大数据分析的数学基础（普通高校本科计算机专业特色教材・计算机基础）,初级,姚普选、许颖, 59.00 ,9787302661740 ,2024/6/1,清华大学出版社
119,网络安全,计算机网络安全――基于对抗视角的网络安全攻防（微课视频版）（国家级实验教学示范中心联席会计算机学科组规划教材）,初级,周庆、胡月, 44.90 ,9787302662075 ,2024/7/1,中国铁道出版社
120,人工智能,智能机器人原理与应用（高等学校智能科学与技术/人工智能专业教材）,初级,陈雯柏、刘学君、吴培良, 66.00 ,9787302663188 ,2024/6/1,清华大学出版社
121,人工智能,Linux操作系统基础――面向人工智能和大数据（微课版）（面向新工科专业建设计算机系列教材）,初级,曹洁，张志锋，冯柳, 59.00 ,9787302663775 ,2024/5/1,中国铁道出版社
122,人工智能,人工智能通识教程（第2版・微课版）（21世纪人工智能创新与应用丛书）,中级,周苏，杨武剑, 66.00 ,9787302665762 ,2024/7/1,清华大学出版社
123,人工智能,艾博士：深入浅出人工智能（公共课版・微课版）,中级,马少平, 59.00 ,9787302666509 ,2024/7/1,清华大学出版社
124,人工智能,人工智能边缘设备应用 (微课视频版)（21世纪高等学校计算机应用技术系列教材）,中级,盛建强  孟思明  王振宇  江跃龙  陈泽宁, 49.80 ,9787302667469 ,2024/8/1,清华大学出版社
125,网络安全,网络安全实用技术（第4版・慕课版・项目驱动・新形态）（新时代高等学校计算机类专业教材）,店销书,贾铁军、罗宜元、刘巧红、王坚、宋少婷, 69.00 ,9787302669531 ,2024/8/1,清华大学出版社
126,网络安全,网络空间安全导论,初级,周伟、于子洋、滕鑫鹏、王大东、孙宏宇、谭, 49.80 ,9787302670322 ,2024/8/1,人民邮电出版社
127,人工智能,大学生人工智能素养（面向数字化时代高等学校计算机系列教材）,初级,杨俊杰  刘勇  张立敏  陈永恒  卢利琼  闵, 59.80 ,9787302671138 ,2024/8/1,清华大学出版社
128,人工智能,人工智能与模式识别（面向新工科的电工电子信息基础课程系列教材）,初级,陈浩、杜春、李沛秦、熊伟 , 65.00 ,9787302672609 ,2024/9/1,清华大学出版社
129,人工智能,现代智能信息处理（高等学校智能科学与技术/人工智能专业教材）,初级,王玉，余礼苏，刘且根，徐子晨, 66.00 ,9787302672845 ,2024/9/1,清华大学出版社
130,人工智能,人工智能实验教程,店销书,焦李成、田小林、侯彪、李阳阳、马文萍、孙, 59.00 ,9787302673934 ,2024/10/1,清华大学出版社
131,人工智能,人工智能编程（赋能Python语言）（全国高等学校计算机教育研究会“十四五”系列教材）,初级,廖云燕、曾锦山、黄箐、邢振昌, 54.50 ,9787302675105 ,2024/12/1,人民邮电出版社
132,人工智能,人工智能技术与行业应用（应用型高校产教融合系列教材・大电类专业系列）,中级,李媛媛、万卫兵、张红兵、杨红军, 59.00 ,9787302675808 ,2024/11/1,清华大学出版社
133,人工智能,人工智能基础（智能制造系列教材）,初级,赵海燕、吴潮潮、朱道也, 49.00 ,9787302676355 ,2024/12/1,人民邮电出版社
134,网络安全,网络安全――理论与技术（微课版）（网络空间安全学科系列教材）,初级,刘建伟、王育民, 79.90 ,9787302676935 ,2024/12/1,清华大学出版社
135,网络安全,移动安全（网络空间安全学科系列教材）,中级,杨珉、杨哲O、张源, 49.00 ,9787302676942 ,2024/12/1,清华大学出版社
136,人工智能,人工智能与员工培训（新文科建设教材・人力资源管理系列）,初级,周红云, 49.00 ,9787302678922 ,2025/2/1,人民邮电出版社
137,人工智能,AIGC三维艺术设计（高等学校设计+人工智能（AI for Design）系列教材）,中级,王凌轩、孙坚、邓晰, 69.00 ,9787302678991 ,2025/1/1,人民邮电出版社
138,人工智能,AIGC影视特效（高等学校设计+人工智能（AI for Design）系列教材）,中级,宋鲁、甄晶莹、颜勇、卢俊, 79.00 ,9787302679752 ,2025/1/1,人民邮电出版社
139,人工智能,AIGC动画分镜设计（高等学校设计+人工智能（AI for Design）系列教材）,初级,邓晰、王志豪、贺俊波, 69.00 ,9787302679868 ,2025/1/1,人民邮电出版社
140,人工智能,AIGC动画场景设计（高等学校设计+人工智能（AI for Design）系列教材）,初级,唐杰晓、杨奥、邓晰, 69.00 ,9787302679875 ,2025/1/1,清华大学出版社
141,网络安全,软件安全实践（网络空间安全学科系列教材）,初级,彭国军、傅建明、赵磊、陈泽茂, 79.90 ,9787302680048 ,2025/1/1,清华大学出版社
142,网络安全,网络对抗演练（网络空间安全学科系列教材）,初级,严飞、张立强、何伊圣、陈治宏、杨庆华、李, 69.90 ,9787302680062 ,2025/3/1,人民邮电出版社
143,人工智能,人工智能通识,初级,王东、马少平, 49.00 ,9787302680147 ,2025/1/1,人民邮电出版社
144,人工智能,大学计算与人工智能（面向新工科专业建设计算机系列教材）,初级,桂小林, 69.80 ,9787302680680 ,2025/2/1,中国铁道出版社
145,人工智能,AIGC游戏策划（高等学校设计+人工智能（AI for Design）系列教材）,初级,何俊、牟堂娟、高凯, 99.00 ,9787302680840 ,2025/2/1,人民邮电出版社
146,网络安全,汇编语言与逆向技术（网络空间安全学科系列教材）,中级,王志、李旭N、过辰楷、邓琮弋, 65.00 ,9787302681007 ,2025/2/1,清华大学出版社
147,网络安全,恶意代码分析实践（网络空间安全学科系列教材）,中级,肖新光、辛毅、叶麟、李柏松、彭国军, 79.00 ,9787302681014 ,2025/2/1,清华大学出版社
148,网络安全,数据安全与隐私计算基础（网络空间安全学科系列教材）,初级,刘哲理、吕思艺、李同、黄晏瑜, 59.90 ,9787302681038 ,2025/2/1,清华大学出版社
149,人工智能,AIGC字体设计（高等学校设计+人工智能（AI for Design）系列教材）,初级,闵媛媛、牟琳、李珏茹、冯琳、刘海杨, 69.00 ,9787302681540 ,2025/2/1,人民邮电出版社
150,人工智能,人工智能导论（高等学校设计+人工智能（AI for Design）系列教材）,初级,轩书科、姜亮、高明武、肖月宁、韩宝燕、荣, 79.00 ,9787302682714 ,2025/2/1,清华大学出版社
151,人工智能,Python与人工智能编程――基础与实验（微课视频版）（面向数字化时代高等学校计算机系列教材・大数据与人工智能）,店销书,张敏, 49.80 ,9787302682776 ,2025/2/1,人民邮电出版社
152,人工智能,机器视觉技术(HALCON版・微课视频版)（面向数字化时代高等学校计算机系列教材・大数据与人工智能）,初级,肖苏华、吴建毅、赖南英、林锐豪, 59.80 ,9787302682783 ,2025/4/1,人民邮电出版社
153,网络安全,勒索软件预防、检测与响应手册（网络空间安全丛书）,中级,[美] 罗杰・A. 格莱姆斯（Roger A. Grimes, 69.80 ,9787302682882 ,2025/4/1,人民邮电出版社
154,网络安全,网络安全（网络空间安全学科系列教材）,初级,陈晶、曹越、罗敏、崔竞松、洪晟, 59.00 ,9787302683025 ,2025/3/1,人民邮电出版社
