图书目录,,,,,,,,
155,网络安全,面向安全思维的程序设计基础（C语言版）（网络空间安全学科系列教材）,初级,罗敏、滕冲、王张宜、傅建明, 49.90 ,9787302683056 ,2025/4/1,人民邮电出版社
156,人工智能,人工智能数学基础,中级,陶玉婷、张燕, 59.80 ,9787302683629 ,2025/2/1,人民邮电出版社
157,人工智能,人工智能机器人基础 中级 下册,中级,闵海波、张建忠、吕远、张豆, 50.00 ,9787302683650 ,2025/3/1,中国铁道出版社
158,人工智能,人工智能与创意设计,初级,卢文军, 49.00 ,9787302684251 ,2025/2/1,人民邮电出版社
159,人工智能,人工智能与数字素养,初级,陈、倪彤、李枘Z、周波, 49.00 ,9787302684268 ,2025/2/1,人民邮电出版社
160,人工智能,计算机视觉基础（ 高等学校智能科学与技术/人工智能专业教材）,中级,鲁鹏、朱新山, 49.80 ,9787302684312 ,2025/3/1,人民邮电出版社
161,人工智能,计算思维与人工智能（微课视频版）（计算机新形态实用教材）,中级,罗小刚、邹威、周亮 主编，李志远、宋炜、, 69.00 ,9787302685258 ,2025/3/1,人民邮电出版社
162,网络安全,区块链原理与技术（网络空间安全学科系列教材）,店销书,张宗洋、伍前红、刘建伟, 69.00 ,9787302689478 ,2025/4/1,清华大学出版社
163,网络安全,密码学引论（微课版）（网络空间安全学科系列教材）,初级,唐明、王张宜、王后珍、冯琦、何琨、张焕国, 49.00 ,9787302689713 ,2025/5/1,人民邮电出版社
164,网络安全,网络安全与渗透测试,中级,刘坊, 48.00 ,9787512146037 ,2021/11/1,人民邮电出版社
165,人工智能,人工智能基础项目教程（修订本）,中级,董先, 48.00 ,9787512147485 ,2025/2/1,人民邮电出版社
166,人工智能,揭秘人工智能核心技术――深度学习理论与实践,店销书,刘海军, 69.00 ,9787512151543 ,2024/1/1,中国铁道出版社
167,数字媒体,After Effects 2020任务驱动教程,初级,黑马程序员, 59.50 ,978-7-04-059340-2,2023年4月,高等教育出版社
168,Python,Python程序设计任务驱动教程,初级,黑马程序员, 55.00 ,978-7-040-59342-6,2023年9月,高等教育出版社
169,数据库,MySQL数据库任务驱动教程,初级,黑马程序员, 55.00 ,978-7-04-059403-4,2023年9月,高等教育出版社
170,linux,Linux网络操作系统项目化教程,初级,黑马程序员, 55.00 ,978-7-04-059404-1,2023年7月,高等教育出版社
171,网页平面,Photoshop 2021任务驱动教程,初级,黑马程序员, 59.50 ,978-7-04-059405-8,2023年8月,高等教育出版社
172,Java,Java程序设计任务驱动教程,初级,黑马程序员, 55.00 ,978-7-04-059602-1,2023年11月,高等教育出版社
173,C/C++,C语言程序设计项目化教程,初级,黑马程序员, 55.00 ,978-7-04-060176-3,2023年10月,高等教育出版社
174,网页平面,HTML5+CSS3网页设计任务驱动教程,初级,黑马程序员, 55.00 ,978-7-04-060210-4,2023年9月,高等教育出版社
175,数字媒体,Cinema 4D任务驱动教程,初级,黑马程序员, 59.50 ,978-7-04-062270-6,2024年9月,高等教育出版社
176,PHP,PHP程序设计基础教程,初级,传智播客高教产品研发部, 40.00 ,978-7-113-18570-1,2014年8月,中国铁道出版社
177,网页平面,网页设计与制作（HTML+CSS）,初级,传智播客高教产品研发部, 45.00 ,978-7-113-18580-0,2014年8月,中国铁道出版社
178,C/C++,C语言程序设计教程,初级,传智播客高教产品研发部, 34.00 ,978-7-113-19570-0,2015年1月,中国铁道出版社
179,PHP,PHP程序设计高级教程,高级,传智播客高教产品研发部, 45.00 ,978-7-113-19571-7,2015年1月,中国铁道出版社
180,网页平面,Photoshop CS6图像设计案例教程,初级,传智播客高教产品研发部, 39.80 ,978-7-113-19572-4,2015年1月,中国铁道出版社
181,Android,Android移动应用基础教程,初级,传智播客高教产品研发部, 39.00 ,978-7-113-19620-2,2015年1月,中国铁道出版社
182,Android,Android项目实战―手机安全卫士,中级,传智播客高教产品研发部, 39.80 ,978-7-113-20549-2,2015年8月,中国铁道出版社
183,网页平面,Photoshop CS6图像处理案例教程,初级,传智播客高教产品研发部, 58.00 ,978-7-113-21208-7,2016年1月,中国铁道出版社
184,前端学科,Node.js核心技术教程,高级,黑马程序员, 32.00 ,978-7-113-22916-0,2017年4月,中国铁道出版社
185,网页平面,Illustrator CS6设计与应用任务教程,初级,黑马程序员, 52.00 ,978-7-113-22919-1,2017年3月,中国铁道出版社
186,网页平面,智能手机APP UI设计与应用任务教程,中级,黑马程序员, 42.00 ,978-7-113-23101-9,2017年8月,中国铁道出版社
187,Android,Android项目实战――博学谷,中级,黑马程序员, 45.00 ,978-7-113-23102-6,2017年7月,中国铁道出版社
188,前端学科,HTML5移动Web开发,中级,黑马程序员, 39.80 ,978-7-113-23103-3,2017年8月,中国铁道出版社
189,网页平面,Flash CC动画制作任务教程,初级,黑马程序员, 49.80 ,978-7-113-23431-7,2017年8月,中国铁道出版社
190,店销书,Python实战编程：从零学Python,初级,黑马程序员, 108.00 ,978-7-113-24007-3,2018年8月,中国铁道出版社
191,网页平面,跨平台UI设计宝典,中级,黑马程序员, 68.00 ,978-7-113-24556-6,2018年8月,中国铁道出版社
192,Python,解析Python网络爬虫：核心技术、Scrapy框架、分布式爬虫,中级,黑马程序员, 52.00 ,978-7-113-24678-5,2018年8月,中国铁道出版社
193,前端学科,jQuery前端开发实战教程,中级,黑马程序员, 55.00 ,978-7-113-24768-3,2018年10月,中国铁道出版社
194,网页平面,网页制作与网站建设实战教程,初级,黑马程序员, 59.80 ,978-7-113-24771-3,2018年11月,中国铁道出版社
195,网页平面,网页设计与制作（HTML5+CSS3+JavaScript）,初级,黑马程序员, 52.00 ,978-7-113-25084-3,2019年2月,中国铁道出版社
196,Python,Python数据分析与应用：从数据获取到可视化,中级,黑马程序员, 52.00 ,978-7-113-25145-1,2019年1月,中国铁道出版社
197,Android,Android移动应用基础教程（Android Studio）（第2版）,初级,黑马程序员, 59.00 ,978-7-113-25250-2,2019年3月,中国铁道出版社
198,PHP,ThinkPHP5框架原理与实战,高级,黑马程序员, 55.00 ,978-7-113-25971-6,2019年8月,中国铁道出版社
199,Python,Python程序开发案例教程,初级,黑马程序员, 52.00 ,978-7-113-25972-3,2019年10月,中国铁道出版社
200,网页平面,Photoshop CS6图像设计案例教程（第2版）,初级,黑马程序员, 49.80 ,978-7-113-26086-6,2020年3月,中国铁道出版社
201,Android,Android项目实战-手机安全卫士（Android Studio）（第2版）,中级,黑马程序员, 58.00 ,978-7-113-26279-2,2019年12月,中国铁道出版社
202,C/C++,C语言程序设计立体化教程,初级,黑马程序员, 56.00 ,978-7-113-26282-2,2020年1月,中国铁道出版社
203,网页平面,Photoshop图像处理案例教程,初级,黑马程序员, 69.80 ,978-7-113-26645-5,2020年4月,中国铁道出版社
204,Python,Python Web企业级项目开发教程（Django版）,中级,黑马程序员, 56.00 ,978-7-113-26726-1,2020年6月,中国铁道出版社
205,数字媒体,Premiere Pro CC视频剪辑案例教程,初级,黑马程序员, 59.80 ,978-7-113-27370-5,2021年1月,中国铁道出版社
206,网页平面,网页设计与制作HTML+CSS（第2版）,初级,黑马程序员, 55.00 ,978-7-113-28296-7,2021年11月,中国铁道出版社
207,Android,Android项目实战――博学谷（第2版）,中级,黑马程序员, 47.00 ,978-7-113-28355-1,2021年10月,中国铁道出版社
208,前端学科,HTML5移动Web开发（第2版）,中级,黑马程序员, 45.00 ,978-7-113-28475-6,2021年11月,中国铁道出版社
209,Android,Android移动应用基础教程（Android Studio）（第3版）,初级,黑马程序员, 59.00 ,978-7-113-30259-7,2023年7月,中国铁道出版社
210,Python,Python数据分析与应用：从数据获取到可视化（第2版）,中级,黑马程序员, 59.00 ,978-7-113-30649-6,2024年1月,中国铁道出版社
211,Python,Python程序开发案例教程（第2版）,初级,黑马程序员, 59.80 ,978-7-113-30923-7,2024年7月,中国铁道出版社
212,Python,Python Web企业级项目开发教程（Django版）（第2版）,中级,黑马程序员, 58.00 ,978-7-113-31412-5,2024年8月,中国铁道出版社
213,.NET,ASP.NET就业实例教程,中级,传智播客高教产品研发部, 38.00 ,978-7-115-29575-0,2015年7月,人民邮电出版社
214,PHP,PHP网站开发实例教程,初级,传智播客高教产品研发部, 45.00 ,978-7-115-29576-7,2015年8月,人民邮电出版社
215,网页平面,HTML+CSS+JavaScript网页制作案例教程,初级,传智播客高教产品研发部, 49.80 ,978-7-115-29658-0,2015年8月,人民邮电出版社
216,iOS,iOS开发项目化入门教程,中级,传智播客高教产品研发部, 49.80 ,978-7-115-29949-9,2015年9月,人民邮电出版社
217,C/C++,C语言开发入门教程,初级,传智播客高教产品研发部, 39.80 ,978-7-115-35623-9,2014年9月,人民邮电出版社
218,.NET,C#程序设计基础入门教程,初级,传智播客高教产品研发部, 45.00 ,978-7-115-35624-6,2014年9月,人民邮电出版社
219,iOS,Objective-C入门教程,初级,传智播客高教产品研发部, 34.00 ,978-7-115-35625-3,2015年2月,人民邮电出版社
220,C/C++,C++程序设计教程,中级,传智播客高教产品研发部, 45.00 ,978-7-115-39484-2,2015年8月,人民邮电出版社
221,网页平面,HTML5+CSS3网站设计基础教程,初级,传智播客高教产品研发部, 45.00 ,978-7-115-41064-1,2016年3月,人民邮电出版社
222,iOS,iOS开发项目化经典教程,高级,传智播客高教产品研发部, 49.80 ,978-7-115-41074-0,2016年2月,人民邮电出版社
223,PHP,PHP+Ajax+jQuery网站开发项目式教程,初级,传智播客高教产品研发部, 43.00 ,978-7-115-41075-7,2016年2月,人民邮电出版社
224,iOS,Swift项目开发基础教程,中级,传智播客, 49.80 ,978-7-115-41960-6,2016年6月,人民邮电出版社
225,PHP,PHP+MySQL网站开发项目式教程,初级,传智播客, 45.00 ,978-7-115-42729-8,2016年8月,人民邮电出版社
226,网页平面,Photoshop CC设计与应用任务教程,初级,黑马程序员, 49.80 ,978-7-115-43932-1,2017年1月,人民邮电出版社
227,C/C++,C语言程序设计案例式教程,初级,黑马程序员, 39.80 ,978-7-115-43933-8,2017年1月,人民邮电出版社
228,前端学科,响应式Web开发项目教程（HTML5+CSS3+Bootstrap）,中级,黑马程序员, 42.00 ,978-7-115-43934-5,2017年1月,人民邮电出版社
229,网页平面,网页设计与制作项目教程（HTML+CSS+JavaScript）,初级,黑马程序员, 45.00 ,978-7-115-43935-2,2017年1月,人民邮电出版社
230,Java,Java Web程序设计任务教程,中级,黑马程序员, 56.00 ,978-7-115-43936-9,2017年1月,人民邮电出版社
231,Java,Java基础案例教程,初级,黑马程序员, 54.00 ,978-7-115-43937-6,2017年1月,人民邮电出版社
232,Android,Android移动开发基础案例教程,初级,黑马程序员, 39.80 ,978-7-115-43938-3,2017年1月,人民邮电出版社
233,店销书,基于Swift语言的iOS App 商业实战教程,初级,黑马程序员, 74.00 ,978-7-115-44093-8,2017年3月,人民邮电出版社
234,前端学科,JavaScript前端开发案例教程,初级,黑马程序员, 49.80 ,978-7-115-44318-2,2018年2月,人民邮电出版社
235,Java,微服务架构基础（Spring Boot+Spring Cloud+Docker）,高级,黑马程序员, 35.00 ,978-7-115-44320-5,2018年4月,人民邮电出版社
236,Python,Python快速编程入门,初级,黑马程序员, 39.80 ,978-7-115-45836-0,2017年9月,人民邮电出版社
237,电子商务,新媒体营销教程,初级,黑马程序员, 35.00 ,978-7-115-45875-9,2017年9月,人民邮电出版社
238,PHP,PHP基础案例教程,初级,黑马程序员, 49.80 ,978-7-115-46032-5,2017年9月,人民邮电出版社
239,Java,Java EE企业级应用开发教程（Spring+Spring MVC +MyBatis）,高级,黑马程序员, 49.80 ,978-7-115-46102-5,2017年9月,人民邮电出版社
240,电子商务,网络营销文案策划,初级,黑马程序员, 46.80 ,978-7-115-47181-9,2018年4月,人民邮电出版社
241,电子商务,搜索引擎营销推广（SEO优化+SEM竞价）,初级,黑马程序员, 58.00 ,978-7-115-47182-6,2018年4月,人民邮电出版社
242,Android,Kotlin从基础到实战,中级,黑马程序员, 59.80 ,978-7-115-49440-5,2019年3月,人民邮电出版社
243,网络与通信,计算机网络技术及应用,初级,黑马程序员, 39.80 ,978-7-115-49441-2,2019年1月,人民邮电出版社
244,硬件与维护,计算机组装与维护,初级,黑马程序员, 49.80 ,978-7-115-49442-9,2019年1月,人民邮电出版社
245,C/C++,C语言开发基础教程（Dev-C++）（第2版）,初级,黑马程序员, 49.80 ,978-7-115-50202-5,2019年5月,人民邮电出版社
246,前端学科,微信小程序开发实战,中级,黑马程序员, 49.80 ,978-7-115-50203-2,2019年4月,人民邮电出版社
247,Python,Python程序设计现代方法,初级,黑马程序员, 49.80 ,978-7-115-51089-1,2019年9月,人民邮电出版社
248,Java,Spring Boot企业级开发教程,高级,黑马程序员, 56.00 ,978-7-115-51279-6,2019年9月,人民邮电出版社
249,软件测试,软件测试,初级,黑马程序员, 42.00 ,978-7-115-51523-0,2019年10月,人民邮电出版社
250,前端学科,Vue.js前端开发实战,高级,黑马程序员, 45.00 ,978-7-115-52323-5,2020年4月,人民邮电出版社
251,网页平面,HTML5+CSS3网页设计与制作,初级,黑马程序员, 59.80 ,978-7-115-52324-2,2020年4月,人民邮电出版社
252,网页平面,HTML5+CSS3网站设计基础教程（第2版）,初级,黑马程序员, 59.80 ,978-7-115-52658-8,2019年11月,人民邮电出版社
253,前端学科,JavaScript+jQuery交互式Web前端开发,初级,黑马程序员, 59.80 ,978-7-115-52680-9,2020年4月,人民邮电出版社
254,Java,Spring Cloud微服务架构开发,高级,黑马程序员, 43.00 ,978-7-115-52904-6,2020年5月,人民邮电出版社
255,PHP,PHP网站开发实例教程（第2版）,初级,黑马程序员, 49.80 ,978-7-115-53020-2,2020年9月,人民邮电出版社
256,.NET,C#程序设计基础入门教程（第2版）,初级,黑马程序员, 59.80 ,978-7-115-54350-9,2020年12月,人民邮电出版社
257,Python,Python数据可视化,中级,黑马程序员, 49.80 ,978-7-115-54513-8,2021年4月,人民邮电出版社
258,网页平面,HTML+CSS+JavaScript网页制作案例教程（第2版）,初级,黑马程序员, 59.80 ,978-7-115-54739-2,2021年1月,人民邮电出版社
259,Java,Java基础案例教程（第2版）,初级,黑马程序员, 59.80 ,978-7-115-54747-7,2021年1月,人民邮电出版社
260,Python,Python快速编程入门（第2版）,初级,黑马程序员, 49.80 ,978-7-115-54752-1,2021年1月,人民邮电出版社
261,前端学科,Bootstrap响应式Web开发,中级,黑马程序员, 42.00 ,978-7-115-54783-5,2021年1月,人民邮电出版社
262,C/C++,C++程序设计教程（第2版）,中级,黑马程序员, 49.80 ,978-7-115-54969-3,2021年1月,人民邮电出版社
263,PHP,PHP+MySQL动态网站开发,中级,黑马程序员, 49.80 ,978-7-115-55127-6,2021年2月,人民邮电出版社
264,前端学科,响应式Web开发项目教程（HTML5+CSS3+Bootstrap）（第2版）,中级,黑马程序员, 49.80 ,978-7-115-55396-6,2021年2月,人民邮电出版社
265,.NET,ASP.NET就业实例教程（第2版）,中级,黑马程序员, 39.80 ,978-7C115-55605-9,2021年7月,人民邮电出版社
266,Python,Python数据预处理,中级,黑马程序员, 39.80 ,978-7-115-56206-7,2021年7月,人民邮电出版社
267,PHP,Laravel框架开发实战,中级,黑马程序员, 49.80 ,978-7-115-56326-2,2021年9月,人民邮电出版社
268,前端学科,Web前端模块化开发教程（ES6+Node.js+Webpack）,高级,黑马程序员, 49.80 ,978-7-115-56462-7,2021年9月,人民邮电出版社
269,网页平面,网页设计与制作项目教程（HTML+CSS+JavaScript）（第2版）,初级,黑马程序员, 59.80 ,978-7-115-56598-3,2022年2月,人民邮电出版社
270,Java,Java Web程序设计任务教程（第2版）,中级,黑马程序员, 59.80 ,978-7-115-56685-0,2021年9月,人民邮电出版社
271,Android,Android移动开发基础案例教程（第2版）,初级,黑马程序员, 59.80 ,978-7-115-56768-0,2021年10月,人民邮电出版社
272,Java,Java EE企业级应用开发教程（Spring+Spring MVC +MyBatis）(第2版）,高级,黑马程序员, 59.80 ,978-7-115-56817-5,2021年10月,人民邮电出版社
273,网页平面,Photoshop CC设计与应用任务教程（第2版）,初级,黑马程序员, 59.80 ,978-7-115-56908-0,2021年9月,人民邮电出版社
274,PHP,PHP基础案例教程（第2版）,初级,黑马程序员, 49.80 ,978-7-115-58013-9,2022年6月,人民邮电出版社
275,Python,Python网络爬虫基础教程,中级,黑马程序员, 59.80 ,978-7-115-58915-6,2022年6月,人民邮电出版社
276,前端学科,JavaScript前端开发案例教程（第2版）,初级,黑马程序员, 59.80 ,978-7-115-59323-8,2022年9月,人民邮电出版社
277,软件测试,自动化测试应用教程（Web+App）,中级,黑马程序员, 59.80 ,978-7-115-59768-7,2023年3月,人民邮电出版社
278,C/C++,C语言程序设计案例式教程（第2版）,初级,黑马程序员, 59.80 ,978-7-115-59863-9,2022年10月,人民邮电出版社
279,Python,Python Web开发项目教程（Flask版）,中级,黑马程序员, 49.80 ,978-7-115-60020-2,2023年1月,人民邮电出版社
280,Java,Java EE企业级应用开发项目教程（SSM）,高级,黑马程序员, 59.80 ,978-7-115-60347-0,2023年4月,人民邮电出版社
281,前端学科,微信小程序开发实战（第2版）,中级,黑马程序员, 59.80 ,978-7-115-60602-0,2023年4月,人民邮电出版社
282,网页平面,HTML5+CSS3网站设计基础教程（第3版）,初级,黑马程序员, 59.80 ,978-7-115-61406-3,2023年6月,人民邮电出版社
283,软件测试,软件测试（第2版）,初级,黑马程序员, 49.80 ,978-7-115-61638-8,2023年8月,人民邮电出版社
284,前端学科,Vue.js前端开发实战（第2版）,高级,黑马程序员, 49.80 ,978-7-115-61815-3,2023年8月,人民邮电出版社
285,前端学科,JavaScript+jQuery交互式Web前端开发（第2版）,初级,黑马程序员, 59.80 ,978-7-115-63379-8,2024年4月,人民邮电出版社
286,Java,Spring Boot企业级开发教程（第2版）,高级,黑马程序员, 59.80 ,978-7-115-63438-2,2024年7月,人民邮电出版社
287,PHP,PHP网站开发实例教程（第3版）,初级,黑马程序员, 49.80 ,978-7-115-63654-6,2024年5月,人民邮电出版社
288,Python,Python程序设计现代方法（第2版）,初级,黑马程序员, 49.80 ,978-7-115-63655-3,2024年6月,人民邮电出版社
289,前端学科,Bootstrap响应式Web开发（第2版）,中级,黑马程序员, 59.80 ,978-7-115-64572-2,2024年9月,人民邮电出版社
290,Java,Spring Cloud微服务架构开发（第2版）,高级,黑马程序员, 59.80 ,978-7-115-64609-5,2024年9月,人民邮电出版社
291,前端学科,ECharts数据可视化,中级,黑马程序员, 59.80 ,978-7-115-64750-4,2024年12月,人民邮电出版社
292,前端学科,jQuery前端开发任务驱动教程,中级,黑马程序员,暂无,978-7-115-64764-1,暂无,人民邮电出版社
293,PHP,PHP+MySQL动态网站开发（第2版）,中级,黑马程序员, 暂无 ,978-7-115-64765-8,2024年9月(预估),人民邮电出版社
294,Python,Python快速编程入门（第3版）,初级,黑马程序员, 59.80 ,978-7-115-64973-7,2024年12月,人民邮电出版社
295,Java,Java Web程序开发入门,中级,传智播客高教产品研发部, 56.00 ,978-7-302-38794-7,2015年2月,清华大学出版社
296,数据库,MySQL数据库入门,初级,传智播客高教产品研发部, 49.00 ,978-7-302-38795-4,2015年3月,清华大学出版社
297,Java,Java Web程序开发进阶,中级,传智播客高教产品研发部, 49.90 ,978-7-302-40726-3,2015年8月,清华大学出版社
298,Java,SSH框架整合实战教程,高级,传智播客高教产品研发部, 56.00 ,978-7-302-42389-8,2016年1月,清华大学出版社
299,数据结构,数据结构与算法――C语言版,中级,传智播客, 59.80 ,978-7-302-44068-0,2016年9月,清华大学出版社
300,PHP,Nginx高性能Web服务器实战教程,高级,黑马程序员, 49.00 ,978-7-302-47244-5,2017年9月,清华大学出版社
301,店销书,Java自学宝典,店销书,黑马程序员, 128.00 ,978-7-302-47541-5,2017年8月,清华大学出版社
302,电子商务,网络营销推广,初级,黑马程序员, 58.00 ,978-7-302-47606-1,2017年9月,清华大学出版社
303,iOS,Objective-C程序设计案例教程,初级,黑马程序员, 45.00 ,978-7-302-47610-8,2017年10月,清华大学出版社
304,linux,Linux编程基础,初级,黑马程序员, 58.00 ,978-7-302-47738-9,2017年10月,清华大学出版社
305,Android,Android企业级项目实战教程,中级,黑马程序员, 59.00 ,978-7-302-49120-0,2018年2月,清华大学出版社
306,前端学科,HTML5混合App开发,高级,黑马程序员, 59.50 ,978-7-302-49772-1,2018年6月,清华大学出版社
307,linux,Linux系统管理与自动化运维,初级,黑马程序员, 59.90 ,978-7-302-50761-1,2018年10月,清华大学出版社
308,Java,Java基础入门（第2版）,初级,黑马程序员, 59.00 ,978-7-302-51141-0,2018年12月,清华大学出版社
309,电子商务,淘宝天猫店一本通：开店、装修、运营、推广,中级,黑马程序员, 59.80 ,978-7-302-51289-9,2018年12月,清华大学出版社
310,数据库,MySQL数据库原理、设计与应用,初级,黑马程序员, 59.50 ,978-7-302-52376-5,2019年4月,清华大学出版社
311,大数据,Hadoop大数据技术原理与应用,中级,黑马程序员, 58.00 ,978-7-302-52440-3,2019年5月,清华大学出版社
312,电子商务,数据分析思维与可视化,初级,黑马程序员, 48.00 ,978-7-302-53382-5,2019年9月,清华大学出版社
313,电子商务,淘宝天猫店美工设计实操：配色、布局、修图、装修,中级,黑马程序员, 89.00 ,978-7-302-53430-3,2019年9月,清华大学出版社
314,大数据,Spark大数据分析与实战,中级,黑马程序员, 49.00 ,978-7-302-53432-7,2019年9月,清华大学出版社
315,交互设计,互联网产品设计思维与实践,中级,黑马程序员, 39.00 ,978-7-302-53433-4,2019年9月,清华大学出版社
316,大数据,数据清洗,中级,黑马程序员, 58.00 ,978-7-302-55087-7,2020年4月,清华大学出版社
317,电子商务,社群营销运营实战,初级,黑马程序员, 39.00 ,978-7-302-55088-4,2020年3月,清华大学出版社
318,大数据,大数据项目实战,中级,黑马程序员, 39.00 ,978-7-302-55093-8,2020年3月,清华大学出版社
319,电子商务,淘宝天猫店运营：产品营销、物流建设、客服管理,初级,黑马程序员, 39.00 ,978-7-302-55316-8,2020年7月,清华大学出版社
320,电子商务,微信运营实战教程,初级,黑马程序员, 49.00 ,978-7-302-56263-4,2020年11月,清华大学出版社
321,数据库,NoSQL数据库技术与应用,中级,黑马程序员, 79.80 ,978-7-302-56351-8,2020年10月,清华大学出版社
322,电子商务,跨境电子商务：亚马逊运营推广,初级,黑马程序员, 49.00 ,978-7-302-56636-6,2020年11月,清华大学出版社
323,电子商务,淘宝天猫店实用教程：配色、布局、修图、装修,中级,黑马程序员, 59.90 ,978-7-302-56666-3,2021年3月,清华大学出版社
324,电子商务,短视频运营实战教程,中级,黑马程序员, 49.00 ,978-7-302-58065-2,2021年7月,清华大学出版社
325,大数据,Spark项目实战,中级,黑马程序员, 48.00 ,978-7-302-58147-5,2021年7月,清华大学出版社
326,大数据,Hive数据仓库应用,中级,黑马程序员, 59.80 ,978-7-302-58959-4,2021年9月,清华大学出版社
327,Java,Java基础入门（第3版）,初级,黑马程序员, 59.90 ,978-7-302-59244-0,2022年1月,清华大学出版社
328,数据库,MySQL数据库入门（第2版）,初级,黑马程序员, 59.90 ,978-7-302-60671-0,2022年6月,清华大学出版社
329,数据库,MySQL数据库原理、设计与应用（第2版）,初级,黑马程序员, 59.00 ,978-7-302-63057-9,2023年5月,清华大学出版社
330,大数据,Hadoop大数据技术原理与应用（第2版）,中级,黑马程序员, 59.80 ,978-7-302-63396-9,2023年7月,清华大学出版社
331,大数据,HBase基础入门,初级,黑马程序员, 59.00 ,978-7-302-65498-8,2024年3月,清华大学出版社
332,大数据,Flink基础入门,高级,黑马程序员, 59.80 ,978-7-302-66173-3,2024年5月,清华大学出版社
333,大数据,数据清洗（第2版）,中级,黑马程序员, 58.00 ,978-7-302-67029-2,2024年8月,清华大学出版社
334,大数据,Spark大数据分析与实战（第2版）,中级,黑马程序员, 28.00 ,978-7-302-257029-2,2021年3月,清华大学出版社
335,大数据,Spark大数据分析与应用（Python语言）,中级,黑马程序员,76,922-7-302-257029-2,2021年7月,清华大学出版社
